# x1 x2 x3 x4
# 441 4
# 1 21 21 4
 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00
 5.00000000e-02  0.00000000e+00  0.00000000e+00  5.87785252e-01
 1.00000000e-01  0.00000000e+00  0.00000000e+00 -3.09016994e-01
 1.50000000e-01  0.00000000e+00  0.00000000e+00 -9.51056516e-01
 2.00000000e-01  0.00000000e+00  0.00000000e+00 -8.09016994e-01
 2.50000000e-01  0.00000000e+00  0.00000000e+00 -1.83697020e-16
 3.00000000e-01  0.00000000e+00  0.00000000e+00  8.09016994e-01
 3.50000000e-01  0.00000000e+00  0.00000000e+00  9.51056516e-01
 4.00000000e-01  0.00000000e+00  0.00000000e+00  3.09016994e-01
 4.50000000e-01  0.00000000e+00  0.00000000e+00 -5.87785252e-01
 5.00000000e-01  0.00000000e+00  0.00000000e+00 -1.00000000e+00
 5.50000000e-01  0.00000000e+00  0.00000000e+00 -5.87785252e-01
 6.00000000e-01  0.00000000e+00  0.00000000e+00  3.09016994e-01
 6.50000000e-01  0.00000000e+00  0.00000000e+00  9.51056516e-01
 7.00000000e-01  0.00000000e+00  0.00000000e+00  8.09016994e-01
 7.50000000e-01  0.00000000e+00  0.00000000e+00  5.51091060e-16
 8.00000000e-01  0.00000000e+00  0.00000000e+00 -8.09016994e-01
 8.50000000e-01  0.00000000e+00  0.00000000e+00 -9.51056516e-01
 9.00000000e-01  0.00000000e+00  0.00000000e+00 -3.09016994e-01
 9.50000000e-01  0.00000000e+00  0.00000000e+00  5.87785252e-01
 1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00
 0.00000000e+00  5.00000000e-02  0.00000000e+00  1.80901699e+00
 5.00000000e-02  5.00000000e-02  0.00000000e+00  1.39680225e+00
 1.00000000e-01  5.00000000e-02  0.00000000e+00  5.00000000e-01
 1.50000000e-01  5.00000000e-02  0.00000000e+00 -1.42039522e-01
 2.00000000e-01  5.00000000e-02  0.00000000e+00 -1.11022302e-16
 2.50000000e-01  5.00000000e-02  0.00000000e+00  8.09016994e-01
 3.00000000e-01  5.00000000e-02  0.00000000e+00  1.61803399e+00
 3.50000000e-01  5.00000000e-02  0.00000000e+00  1.76007351e+00
 4.00000000e-01  5.00000000e-02  0.00000000e+00  1.11803399e+00
 4.50000000e-01  5.00000000e-02  0.00000000e+00  2.21231742e-01
 5.00000000e-01  5.00000000e-02  0.00000000e+00 -1.90983006e-01
 5.50000000e-01  5.00000000e-02  0.00000000e+00  2.21231742e-01
 6.00000000e-01  5.00000000e-02  0.00000000e+00  1.11803399e+00
 6.50000000e-01  5.00000000e-02  0.00000000e+00  1.76007351e+00
 7.00000000e-01  5.00000000e-02  0.00000000e+00  1.61803399e+00
 7.50000000e-01  5.00000000e-02  0.00000000e+00  8.09016994e-01
 8.00000000e-01  5.00000000e-02  0.00000000e+00  3.33066907e-16
 8.50000000e-01  5.00000000e-02  0.00000000e+00 -1.42039522e-01
 9.00000000e-01  5.00000000e-02  0.00000000e+00  5.00000000e-01
 9.50000000e-01  5.00000000e-02  0.00000000e+00  1.39680225e+00
 1.00000000e+00  5.00000000e-02  0.00000000e+00  1.80901699e+00
 0.00000000e+00  1.00000000e-01  0.00000000e+00  1.95105652e+00
 5.00000000e-02  1.00000000e-01  0.00000000e+00  1.53884177e+00
 1.00000000e-01  1.00000000e-01  0.00000000e+00  6.42039522e-01
 1.50000000e-01  1.00000000e-01  0.00000000e+00  0.00000000e+00
 2.00000000e-01  1.00000000e-01  0.00000000e+00  1.42039522e-01
 2.50000000e-01  1.00000000e-01  0.00000000e+00  9.51056516e-01
 3.00000000e-01  1.00000000e-01  0.00000000e+00  1.76007351e+00
 3.50000000e-01  1.00000000e-01  0.00000000e+00  1.90211303e+00
 4.00000000e-01  1.00000000e-01  0.00000000e+00  1.26007351e+00
 4.50000000e-01  1.00000000e-01  0.00000000e+00  3.63271264e-01
 5.00000000e-01  1.00000000e-01  0.00000000e+00 -4.89434837e-02
 5.50000000e-01  1.00000000e-01  0.00000000e+00  3.63271264e-01
 6.00000000e-01  1.00000000e-01  0.00000000e+00  1.26007351e+00
 6.50000000e-01  1.00000000e-01  0.00000000e+00  1.90211303e+00
 7.00000000e-01  1.00000000e-01  0.00000000e+00  1.76007351e+00
 7.50000000e-01  1.00000000e-01  0.00000000e+00  9.51056516e-01
 8.00000000e-01  1.00000000e-01  0.00000000e+00  1.42039522e-01
 8.50000000e-01  1.00000000e-01  0.00000000e+00  4.44089210e-16
 9.00000000e-01  1.00000000e-01  0.00000000e+00  6.42039522e-01
 9.50000000e-01  1.00000000e-01  0.00000000e+00  1.53884177e+00
 1.00000000e+00  1.00000000e-01  0.00000000e+00  1.95105652e+00
 0.00000000e+00  1.50000000e-01  0.00000000e+00  1.30901699e+00
 5.00000000e-02  1.50000000e-01  0.00000000e+00  8.96802247e-01
 1.00000000e-01  1.50000000e-01  0.00000000e+00 -2.22044605e-16
 1.50000000e-01  1.50000000e-01  0.00000000e+00 -6.42039522e-01
 2.00000000e-01  1.50000000e-01  0.00000000e+00 -5.00000000e-01
 2.50000000e-01  1.50000000e-01  0.00000000e+00  3.09016994e-01
 3.00000000e-01  1.50000000e-01  0.00000000e+00  1.11803399e+00
 3.50000000e-01  1.50000000e-01  0.00000000e+00  1.26007351e+00
 4.00000000e-01  1.50000000e-01  0.00000000e+00  6.18033989e-01
 4.50000000e-01  1.50000000e-01  0.00000000e+00 -2.78768258e-01
 5.00000000e-01  1.50000000e-01  0.00000000e+00 -6.90983006e-01
 5.50000000e-01  1.50000000e-01  0.00000000e+00 -2.78768258e-01
 6.00000000e-01  1.50000000e-01  0.00000000e+00  6.18033989e-01
 6.50000000e-01  1.50000000e-01  0.00000000e+00  1.26007351e+00
 7.00000000e-01  1.50000000e-01  0.00000000e+00  1.11803399e+00
 7.50000000e-01  1.50000000e-01  0.00000000e+00  3.09016994e-01
 8.00000000e-01  1.50000000e-01  0.00000000e+00 -5.00000000e-01
 8.50000000e-01  1.50000000e-01  0.00000000e+00 -6.42039522e-01
 9.00000000e-01  1.50000000e-01  0.00000000e+00 -9.43689571e-16
 9.50000000e-01  1.50000000e-01  0.00000000e+00  8.96802247e-01
 1.00000000e+00  1.50000000e-01  0.00000000e+00  1.30901699e+00
 0.00000000e+00  2.00000000e-01  0.00000000e+00  4.12214748e-01
 5.00000000e-02  2.00000000e-01  0.00000000e+00  2.22044605e-16
 1.00000000e-01  2.00000000e-01  0.00000000e+00 -8.96802247e-01
 1.50000000e-01  2.00000000e-01  0.00000000e+00 -1.53884177e+00
 2.00000000e-01  2.00000000e-01  0.00000000e+00 -1.39680225e+00
 2.50000000e-01  2.00000000e-01  0.00000000e+00 -5.87785252e-01
 3.00000000e-01  2.00000000e-01  0.00000000e+00  2.21231742e-01
 3.50000000e-01  2.00000000e-01  0.00000000e+00  3.63271264e-01
 4.00000000e-01  2.00000000e-01  0.00000000e+00 -2.78768258e-01
 4.50000000e-01  2.00000000e-01  0.00000000e+00 -1.17557050e+00
 5.00000000e-01  2.00000000e-01  0.00000000e+00 -1.58778525e+00
 5.50000000e-01  2.00000000e-01  0.00000000e+00 -1.17557050e+00
 6.00000000e-01  2.00000000e-01  0.00000000e+00 -2.78768258e-01
 6.50000000e-01  2.00000000e-01  0.00000000e+00  3.63271264e-01
 7.00000000e-01  2.00000000e-01  0.00000000e+00  2.21231742e-01
 7.50000000e-01  2.00000000e-01  0.00000000e+00 -5.87785252e-01
